[14:21:28] [main/INFO]: ModLauncher running: args [--username, JustArend, --version, forge-47.3.0, --gameDir, C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0, --assetsDir, C:\Users\Arend\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, bb99cf8c16fa45c3bab5f6031f089828, --accessToken, ????????, --clientId, NzE1YTE1MjUtZjFlZC00ZDc5LWJiMjQtMzYzZWQ5NWNjYjc5, --xuid, 2535428986502103, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\Arend\curseforge\minecraft\Install\quickPlay\java\1721913686378.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[14:21:28] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Windows 11 arch amd64 version 10.0
[14:21:29] [main/INFO]: Found mod file appleskin-forge-mc1.20.1-2.5.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file architectury-9.2.14-forge.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file artifacts-forge-9.5.11.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file azure-paxels-neo-1.20.1-1.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file balm-forge-1.20.1-7.3.6-all.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file bettercombat-forge-1.8.5+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file betterfpsdist-1.20.1-4.4.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file bettervillage-forge-1.20.1-3.2.0.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file BiomesOPlenty-1.20.1-18.0.0.598.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file blur-forge-3.1.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file Bookshelf-Forge-1.20.1-20.2.13.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file BrandonsCore-1.20.1-3.2.1.302-universal.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file carryon-forge-1.20.1-2.1.2.7.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file citadel-2.5.6-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file cloth-config-11.1.118-forge.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file Clumps-forge-1.20.1-12.0.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file cobweb-forge-1.20.1-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file CodeChickenLib-1.20.1-4.4.0.512-universal.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file collective-1.20.1-7.74.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file Controlling-forge-1.20.1-12.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file coroutil-forge-1.20.1-1.3.7.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file cosmeticarmorreworked-1.20.1-v1a.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file CraterLib-Forge-1.20-2.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file create-1.20.1-0.5.1.f.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file CreativeCore_FORGE_v2.11.32_mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file creeperoverhaul-3.0.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file CullLessLeaves-Reforged-1.20.1-1.0.5.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file cupboard-1.20.1-2.7.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file curios-forge-5.9.1+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file deeperdarker-forge-1.20.1-1.2.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file defaultoptions-forge-1.20-18.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file Ding-1.20.1-Forge-1.5.0.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file DistantHorizons-2.1.2-a-1.20.1-forge-fabric.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file doubledoors-1.20.1-5.7.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file Draconic-Evolution-1.20.1-3.1.2.583-universal.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file durabilitytooltip-1.1.5-forge-mc1.20.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file dynamic-fps-3.6.1+minecraft-1.20.0-forge.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file EasyMagic-v8.0.1-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file embeddium-0.3.27+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file embeddiumplus-1.20.1-v1.2.13.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file Emojiful-Forge-1.20.1-4.2.0.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file EnchantmentDescriptions-Forge-1.20.1-17.0.16.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file EnderIO-1.20.1-6.1.8-beta-all.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file EnderIOReCreated_1.0.0-forge.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file endermanoverhaul-forge-1.20.1-1.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file endersdelight-1.20.1-1.0.3.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file endrem_forge-5.2.3-R-1.20.X.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file entity_model_features_forge_1.20.1-2.1.3.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file entity_texture_features_forge_1.20.1-6.1.3.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file explosiveenhancement-1.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file Fallingleaves-1.20.1-2.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file fallingtrees-forge-0.12.5-1.20.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file FarmersDelight-1.20.1-1.2.4.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file farsight-1.20.1-3.7.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file ferritecore-6.0.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file forge-medievalend-1.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file FramedBlocks-9.3.0.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file ftb-library-forge-2001.2.3.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file ftb-ultimine-forge-2001.1.5.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file fusion-1.1.1-forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file geckolib-forge-1.20.1-4.4.7.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file getittogetherdrops-forge-1.20-1.3.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file gravestone-forge-1.20.1-1.0.17.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file harvest-with-ease-forge-1.20.1-9.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file iceandfire-2.1.13-1.20.1-beta-4.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file iChunUtil-1.20.1-Forge-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file ImmediatelyFast-Forge-1.2.18+1.20.4.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file immersive_aircraft-1.0.1+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file immersive_armors-1.6.1+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file immersive_weathering-1.20.1-2.0.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file industrial-foregoing-1.20.1-3.5.17.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file InsaneLib-1.13.5-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file inventorysorter-1.20.1-23.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file jei-1.20.1-forge-15.8.0.17.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file journeymap-1.20.1-5.10.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file JustEnoughResources-1.20.1-1.4.0.247.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file justzoom_forge_2.0.0_MC_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file konkrete_forge_1.8.0_MC_1.20-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file L_Enders_Cataclysm-1.99.6-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file libraryferret-forge-1.20.1-4.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file lionfishapi-1.9.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file lootr-forge-1.20-0.7.34.86.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file lost_aether_content-1.20.1-1.2.3.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file luki-s-grand-capitals-0.7-forge-1.19-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file medieval_buildings-forge-1.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file modelfix-1.15.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file modernfix-forge-5.18.10+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file moonlight-1.20-2.12.9-forge.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file MouseTweaks-forge-mc1.20.1-2.25.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file NaturesCompass-1.20.1-1.11.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file nethersdelight-1.20.1-4.0.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file noisium-forge-2.0.3+mc1.20-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file notenoughanimations-forge-1.7.4-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file notenoughcrashes-4.4.7+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file nyfsspiders-forge-1.20.1-2.1.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file oceansdelight-1.0.2-1.20.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file oculus-mc1.20.1-1.7.0.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file Ore Creeper-1.20.1-1.2.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file overloadedarmorbar-1.20.1-1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file pandalib-forge-0.3-1.20.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file ParCool-1.20.1-3.2.1.2-R.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file Patchouli-1.20.1-84-FORGE.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file player-animation-lib-forge-1.0.2-rc1+1.20.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file PresenceFootsteps-1.20.1-1.9.1-beta.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file PuzzlesLib-v8.1.21-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file rechiseled-1.1.6-forge-mc1.20.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file reliquary-1.20.1-2.0.41.1229.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file resourcefulconfig-forge-1.20.1-2.1.2.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file resourcefullib-forge-1.20.1-2.1.25.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file seamless-loading-screen-2.0.3+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file Searchables-forge-1.20.1-1.0.3.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file Shields+-1.10.1-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file simplefarming-1.20.1-2.2.6.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file SimpleRPC-Universal-3.3.2.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file simplyswords-forge-1.55.0-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file SkyVillages-1.0.4-1.19.2-1.20.1-forge-release.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file smoothchunk-1.20.1-3.6.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file sophisticatedbackpacks-1.20.1-3.20.5.1044.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file sophisticatedcore-1.20.1-0.6.22.611.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file sophisticatedstorage-1.20.1-0.10.25.804.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
